Token	Corpus	Text	Line_Number	Genre	Type	Whole_Genitive	Possessor	Possessor_Head	Possessor_NP_Type	Final_Sibilant	Possessor_Animacy5	Possessor_Animacy3	Possessor_Animacy2	Possessor_Givenness	Possessum	Possessum_Head	Possessum_Animacy2	Semantic_Relation	Prototypical_Semantics	Preceding_s_genitive	Possessor_Thematicity	Possessor_Length	Possessum_Length	Type_Token_Ratio	Time
ba01.0069.02	Brown	A01	69	Press	s	Georgia's congressmen	Georgia's	Georgia	proper	N	collective	collective	inanimate	given	congressmen	congressmen	animate	OTH	N	N	-2.397940009	1	1	74	1960
ba01.0073.01	Brown	A01	73	Press	of	chairman of the Miller County Democratic Executive Committee	the Miller County Democratic Executive Committee	Miller County Democratic Executive Committee	proper	N	collective	collective	inanimate	new	chairman	chairman	animate	OTH	N	Y	-3.301029996	6	1	73	1960
ba01.0074.01	Brown	A01	74	Press	s	Saturday's election	Saturday's	Saturday	proper	N	time	inanimate	inanimate	new	election	election	inanimate	OTH	N	N	-3.301029996	1	1	75	1960
ba02.0001.02	Brown	A02	1	Press	s	Gov. Price Daniel's abandoned property act	Gov. Price Daniel's	Daniel	proper	N	animate	animate	animate	new	abandoned property act	act	inanimate	OTH	N	N	-2.602059991	3	3	79	1960
ba02.0001.03	Brown	A02	1	Press	of	the adamant protests of Texas bankers	Texas bankers	banker	common	Y	animate	animate	animate	new	the adamant protests	protest	inanimate	OTH	N	Y	-2.698970004	2	3	79	1960
ba02.0005.03	Brown	A02	5	Press	of	the end of the current fiscal year	the current fiscal year	year	common	N	time	inanimate	inanimate	new	the end	end	inanimate	OTH	N	N	-2.397940009	4	2	75	1960
ba02.0010.02	Brown	A02	10	Press	of	the confidence of bank customers	bank customers	customers	common	Y	animate	animate	animate	new	the confidence	confidence	inanimate	OTH	N	N	-3.301029996	2	2	72	1960
ba02.0013.02	Brown	A02	13	Press	of	sponsor of the bill	the bill	bill	common	N	inanimate	inanimate	inanimate	given	sponsor	sponsor	animate	OTH	N	N	-1.93930216	2	1	73	1960
ba02.0013.03	Brown	A02	13	Press	s	the taxpayers' pockets	the taxpayers'	taxpayer	common	Y	animate	animate	animate	new	pockets	pockets	inanimate	OTH	N	N	-3.301029996	2	1	73	1960
ba02.0017.01	Brown	A02	17	Press	of	the bill of Sen. George Parkhouse of Dallas	Sen. George Parkhouse of Dallas	Parkhouse	proper	Y	animate	animate	animate	new	the bill	bill	inanimate	OTH	N	Y	-2.602059991	5	2	68	1960
ba02.0021.03	Brown	A02	21	Press	s	"the first year's capital outlay of $88,000"	the first year's	year	common	N	time	inanimate	inanimate	new	"capital outlay of $88,000"	outlay	inanimate	OTH	N	N	-2.397940009	3	4	79	1960
ba02.0025.01	Brown	A02	25	Press	s	Berry's proposed constitutional amendment	Berry's	Berry	proper	N	animate	animate	animate	given	proposed constitutional amendment	amendment	inanimate	OTH	N	Y	-2.823908741	1	3	87	1960
ba02.0031.01	Brown	A02	31	Press	s	the State Health Department's authority to give planning assistance to cities	the State Health Department's	State Health Department	proper	N	collective	collective	inanimate	new	authority to give planning assistance to cities	authority	inanimate	OTH	N	Y	-3.301029996	4	7	75	1960
ba02.0034.01	Brown	A02	34	Press	of	authority of the Beaumont Navigation District	the Beaumont Navigation District	Beaumont Navigation District	proper	N	collective	collective	inanimate	new	authority	authority	inanimate	OTH	N	Y	-3.301029996	4	1	79	1960
ba02.0035.01	Brown	A02	35	Press	of	creation of the Lamar county Hospital District	the Lamar county Hospital District	District	proper	N	collective	collective	inanimate	new	creation	creation	inanimate	OTH	N	N	-2.522878745	5	1	77	1960
ba02.0045.01	Brown	A02	45	Press	s	Formby's plan	Formby's	Formby	proper	N	animate	animate	animate	given	plan	plan	inanimate	OTH	N	N	-3	1	1	72	1960
ba02.0048.02	Brown	A02	48	Press	of	sponsor of the poll idea	the poll idea	idea	common	N	inanimate	inanimate	inanimate	given	sponsor	sponsor	animate	OTH	N	Y	-3.301029996	3	1	83	1960
ba02.0053.01	Brown	A02	53	Press	of	the alleged water needs of Texas' big cities	Texas' big cities	cities	common	Y	collective	collective	inanimate	new	the alleged water needs	needs	inanimate	OTH	N	N	-2.602059991	3	4	73	1960
ba02.0053.02	Brown	A02	53	Press	s	Texas' big cities	Texas'	Texas	proper	Y	collective	collective	inanimate	given	big cities	city	inanimate	PART	Y	N	-1.920818754	1	2	73	1960
ba02.0060.01	Brown	A02	60	Press	s	The bill's defenders	The bill's	bill	common	N	inanimate	inanimate	inanimate	given	defenders	defenders	animate	OTH	N	Y	-1.93930216	2	1	81	1960
ba02.0072.02	Brown	A02	72	Press	of	the board of regents of Paris Junior College	Paris Junior College	Paris Junior College	proper	Y	collective	collective	inanimate	new	the board of regents	board	inanimate	OTH	N	Y	-3.301029996	3	4	64	1960
ba02.0073.01	Brown	A02	73	Press	s	the school's new president	the school's	school	common	N	collective	collective	inanimate	given	new president	president	animate	OTH	N	N	-2.022276395	2	2	65	1960
ba02.0078.02	Brown	A02	78	Press	of	captain of his basketball team	his basketball team	team	common	N	collective	collective	inanimate	new	captain	captain	animate	OTH	N	Y	-3.301029996	3	1	75	1960
ba02.0081.02	Brown	A02	81	Press	of	the recommendation of Supt. Chester O. Strickland	Supt. Chester O. Strickland	Strickland	proper	N	animate	animate	animate	new	the recommendation	recommendation	inanimate	OTH	N	N	-3.301029996	4	2	78	1960
ba02.0084.02	Brown	A02	84	Press	of	"the most serious causes of family breakdown , desertion , and ADC dependency"	"family breakdown, desertion, and ADC dependency"	breakdown	common	N	inanimate	inanimate	inanimate	new	the most serious causes	causes	inanimate	OTH	N	N	-3.301029996	6	4	75	1960
ba02.0085.01	Brown	A02	85	Press	of	the monthly cost of ADC	ADC	ADC	proper	N	inanimate	inanimate	inanimate	new	the monthly cost	cost	inanimate	OTH	N	N	-2.397940009	1	3	75	1960
ba02.0085.02	Brown	A02	85	Press	of	president of Carson Pirie Scott & Co.	Carson Pirie Scott & Co.	Carson Pirie Scott & Co.	proper	N	collective	collective	inanimate	new	president	president	animate	OTH	N	N	-3.301029996	5	1	75	1960
ba02.0089.01	Brown	A02	89	Press	of	"extension of the ADC program to all children in need living with any relatives , including both parents"	"the ADC program to all children in need living with any relatives, including both parents"	program	common	N	inanimate	inanimate	inanimate	given	extension	extension	inanimate	OTH	N	N	-2.698970004	8	1	75	1960
ba02.0090.01	Brown	A02	90	Press	of	the causes and prevention of dependency and illegitimacy	dependency and illegitimacy	dependency and illegitimacy	common	N	inanimate	inanimate	inanimate	new	the causes and prevention	causes	inanimate	OTH	N	N	-3	3	4	72	1960
ba03.0013.03	Brown	A03	13	Press	of	the first drafts of portions of the address	portions of the address	portions	common	Y	inanimate	inanimate	inanimate	new	the first drafts	drafts	inanimate	OTH	N	N	-3.301029996	4	3	75	1960
ba03.0013.05	Brown	A03	13	Press	of	the help of White House aids in Washington with whom he talked by telephone	White House aids in Washington with whom he talked by telephone	aids	common	N	animate	animate	animate	new	the help	help	inanimate	OTH	N	N	-3.301029996	8	2	75	1960
ba03.0016.03	Brown	A03	16	Press	s	Russia's demands and proposals for the city	Russia's	Russia	proper	N	collective	collective	inanimate	new	demands and proposals for the city	demands	inanimate	OTH	N	N	-3.301029996	1	6	69	1960
ba03.0017.01	Brown	A03	17	Press	of	the investigation of the Nov. 8 election	the Nov. 8 election	election	common	N	inanimate	inanimate	inanimate	new	the investigation	investigation	inanimate	OTH	N	Y	-2.823908741	4	2	72	1960
ba03.0018.02	Brown	A03	18	Press	of	the guilt or innocence of the 50 persons	the 50 persons	person	common	Y	animate	animate	animate	given	the guilt or innocence	guilt	inanimate	OTH	N	N	-2.455931956	3	4	74	1960
ba03.0019.02	Brown	A03	19	Press	of	the legal rights of citizens	citizens	citizen	common	Y	animate	animate	animate	new	the legal rights	rights	inanimate	OTH	N	N	-3.301029996	1	3	75	1960
ba03.0020.01	Brown	A03	20	Press	s	Karns' ruling	Karns'	Karns	proper	Y	animate	animate	animate	given	ruling	ruling	inanimate	OTH	N	N	-2.397940009	1	1	76	1960
ba03.0024.01	Brown	A03	24	Press	of	the 58th precinct of the 23d ward	the 23d ward	ward	common	N	collective	collective	inanimate	new	the 58th precinct	precinct	inanimate	PART	Y	Y	-2.455931956	3	3	65	1960
ba03.0028.03	Brown	A03	28	Press	of	the Criminal court of Cook county	Cook county	Cook county	proper	N	collective	collective	inanimate	new	the Criminal court	court	inanimate	OTH	N	N	-3	2	3	57	1960
ba03.0028.05	Brown	A03	28	Press	of	the authority of that court	that court	court	common	N	collective	collective	inanimate	given	the authority	authority	inanimate	OTH	N	N	-2.301029996	2	2	57	1960
ba03.0028.06	Brown	A03	28	Press	of	the function of this court	this court	court	common	N	collective	collective	inanimate	given	the function	function	inanimate	OTH	N	N	-2.301029996	2	2	57	1960
ba03.0030.01	Brown	A03	30	Press	of	complementary miscount of the vote	the vote	vote	common	N	inanimate	inanimate	inanimate	given	complementary miscount	miscount	inanimate	OTH	N	N	-2.823908741	2	2	83	1960
ba03.0031.01	Brown	A03	31	Press	of	"the 33d , 24th , and 42d precincts of the 31st ward"	the 31st ward	ward	common	N	collective	collective	inanimate	new	"the 33d , 24th , and 42d precincts"	precinct	inanimate	PART	Y	N	-2.455931956	3	8	77	1960
ba03.0031.02	Brown	A03	31	Press	of	the 21st and 28th precincts of the 29th ward	the 29th ward	ward	common	N	collective	collective	inanimate	new	the 21st and 28th precincts	precinct	inanimate	PART	Y	N	-2.455931956	3	5	77	1960
ba03.0031.03	Brown	A03	31	Press	of	the 18th precinct of the 4th ward	the 4th ward	ward	common	N	collective	collective	inanimate	new	the 18th precinct	precinct	inanimate	PART	Y	N	-2.455931956	3	3	77	1960
ba03.0031.04	Brown	A03	31	Press	of	the 9th precinct of the 23d ward	the 23d ward	ward	common	N	collective	collective	inanimate	new	the 9th precinct	precinct	inanimate	PART	Y	N	-2.455931956	3	3	77	1960
ba03.0032.01	Brown	A03	32	Press	of	The case of the judges in the 58th precinct of the 23d ward	the judges in the 58th precinct of the 23d ward	judge	common	N	animate	animate	animate	new	The case	case	inanimate	OTH	N	N	-2.346787486	8	2	73	1960
ba03.0032.02	Brown	A03	32	Press	of	the 58th precinct of the 23d ward	the 23d ward	ward	common	N	collective	collective	inanimate	new	the 58th precinct	precinct	inanimate	PART	Y	N	-2.455931956	3	3	73	1960
ba03.0035.01	Brown	A03	35	Press	of	the hospital and some other medical bills of 14.2 million Americans over 65 who are covered by social security or railroad retirement programs	14.2 million Americans over 65 who are covered by social security or railroad retirement programs	Americans	proper	Y	animate	animate	animate	new	the hospital and some other medical bills	hospital	inanimate	OTH	N	N	-2.823908741	8	7	67	1960
ba03.0048.01	Brown	A03	48	Press	of	full payment of hospital bills	hospital bills	bill	common	Y	inanimate	inanimate	inanimate	new	full payment	payment	inanimate	OTH	N	N	-2.397940009	2	2	69	1960
ba03.0049.01	Brown	A03	49	Press	of	full payment of nursing home bills	nursing home bills	bill	common	Y	inanimate	inanimate	inanimate	new	full payment	payment	inanimate	OTH	N	N	-2.397940009	3	2	76	1960
ba03.0055.02	Brown	A03	55	Press	of	"the needs of those millions who have no wish to receive care at the taxpayers' expense, but who are nevertheless staggered by the drain on their savings- or those of their children- caused by an extended hospital stay"	"those millions who have no wish to receive care at the taxpayers' expense, but who are nevertheless staggered by the drain on their savings -- or those of their children -- caused by an extended hospital stay"	millions	common	Y	animate	animate	animate	new	the needs	needs	inanimate	OTH	N	N	-2.22184875	8	2	78	1960
ba03.0055.03	Brown	A03	55	Press	s	the taxpayers' expense	the taxpayers'	taxpayer	common	Y	animate	animate	animate	new	expense	expense	inanimate	OTH	N	N	-3.301029996	2	1	78	1960
ba03.0056.01	Brown	A03	56	Press	of	unnecessary overcrowding of our hospitals	our hospitals	hospitals	common	Y	inanimate	inanimate	inanimate	given	unnecessary overcrowding	overcrowding	inanimate	OTH	N	Y	-2.346787486	2	2	77	1960
ba03.0058.02	Brown	A03	58	Press	of	prepayment of health costs	health costs	costs	common	Y	inanimate	inanimate	inanimate	new	prepayment	prepayment	inanimate	OTH	N	N	-2.397940009	2	1	76	1960
ba03.0062.01	Brown	A03	62	Press	s	the President's most ambitious and costly proposals	the President's	President	proper	N	animate	animate	animate	given	most ambitious and costly proposals	proposal	inanimate	OTH	N	N	-2.022276395	2	5	72	1960
ba03.0063.01	Brown	A03	63	Press	s	the nation's 92 medical and 47 dental schools	the nation's	nation	common	N	collective	collective	inanimate	given	92 medical and 47 dental schools	school	inanimate	OTH	N	Y	-2.698970004	2	6	67	1960
ba03.0067.01	Brown	A03	67	Press	of	cost of education	education	education	common	N	inanimate	inanimate	inanimate	new	cost	cost	inanimate	OTH	N	Y	-3.301029996	1	1	68	1960
ba03.0069.01	Brown	A03	69	Press	of	the capacity of existing ones	existing ones	one	common	Y	collective	collective	inanimate	new	the capacity	capacity	inanimate	OTH	N	N	-2.698970004	2	2	65	1960
ba03.0081.01	Brown	A03	81	Press	s	the President's plan	the President's	President	proper	N	animate	animate	animate	given	plan	plan	inanimate	OTH	N	N	-2.022276395	2	1	79	1960
ba03.0086.01	Brown	A03	86	Press	s	the nation's federal housing chief	the nation's	nation	common	N	collective	collective	inanimate	given	federal housing chief	chief	animate	OTH	N	Y	-2.698970004	2	3	81	1960
ba03.0089.01	Brown	A03	89	Press	of	approval of the Negro leader	the Negro leader	leader	common	N	animate	animate	animate	given	approval	approval	inanimate	OTH	N	Y	-2.823908741	3	1	81	1960
ba03.0089.02	Brown	A03	89	Press	of	administrator of the housing and home finance agency	the housing and home finance agency	agency	common	N	collective	collective	inanimate	new	administrator	administrator	animate	OTH	N	N	-3.301029996	6	1	81	1960
ba03.0091.02	Brown	A03	91	Press	s	President Eisenhower's cabinet selections in 1953	President Eisenhower's	President Eisenhower	proper	N	animate	animate	animate	given	cabinet selections in 1953	selection	inanimate	OTH	N	N	-3.301029996	2	4	78	1960
ba04.0008.01	Brown	A04	8	Press	s	NATO members' votes	NATO members'	member	common	Y	animate	animate	animate	new	votes	votes	inanimate	OTH	N	N	-3.301029996	2	1	75	1960
ba04.0010.01	Brown	A04	10	Press	of	the heart of this northernmost capital of the alliance	this northernmost capital of the alliance	capital	common	Y	place	inanimate	inanimate	given	the heart	heart	inanimate	PART	Y	Y	-3.301029996	6	2	83	1960
ba04.0010.02	Brown	A04	10	Press	of	this northernmost capital of the alliance	the alliance	alliance	common	Y	collective	collective	inanimate	given	this northernmost capital	capital	inanimate	PART	Y	N	-2.698970004	2	3	83	1960
ba04.0011.01	Brown	A04	11	Press	of	the negative side of the balance sheet	the balance sheet	sheet	common	N	inanimate	inanimate	inanimate	new	the negative side	side	inanimate	OTH	N	N	-3.301029996	3	3	77	1960
ba04.0012.01	Brown	A04	12	Press	of	the tenor of Secretary of State Dean Rusk's speeches	Secretary of State Dean Rusk's speeches	Dean Rusk	common	Y	inanimate	inanimate	inanimate	new	the tenor	tenor	inanimate	OTH	N	N	-3	6	2	73	1960
ba04.0012.03	Brown	A04	12	Press	s	Secretary of State Dean Rusk's speeches	Secretary of State Dean Rusk's	Dean Rusk	proper	N	animate	animate	animate	given	speeches	speeches	inanimate	OTH	N	N	-3.301029996	5	1	73	1960
ba04.0013.01	Brown	A04	13	Press	s	Mr. Rusk's analysis of the various global danger points and setbacks for the West	Mr. Rusk's	Rusk	proper	N	animate	animate	animate	given	analysis of the various global danger points and setbacks for the West	analysis	inanimate	OTH	N	Y	-2.823908741	2	8	70	1960
ba04.0015.01	Brown	A04	15	Press	s	Mr. Rusk's personal popularity	Mr. Rusk's	Rusk	proper	N	animate	animate	animate	given	personal popularity	popularity	inanimate	OTH	N	Y	-2.823908741	2	2	79	1960
ba04.0017.01	Brown	A04	17	Press	of	the core of NATO	NATO	NATO	proper	N	collective	collective	inanimate	given	the core	core	inanimate	OTH	N	Y	-2.397940009	1	2	74	1960
ba04.0017.03	Brown	A04	17	Press	s	the United States' profound attachment to the alliance	the United States'	United States	proper	Y	collective	collective	inanimate	given	profound attachment to the alliance	attachment	inanimate	OTH	N	N	-2.15490196	3	5	74	1960
ba04.0017.04	Brown	A04	17	Press	of	cornerstone of its foreign policy	its foreign policy	policy	common	N	inanimate	inanimate	inanimate	new	cornerstone	cornerstone	inanimate	OTH	N	Y	-2.397940009	3	1	74	1960
ba04.0017.06	Brown	A04	17	Press	s	NATO's disposal	NATO's	NATO	proper	N	collective	collective	inanimate	given	disposal	disposal	inanimate	OTH	N	N	-2.397940009	1	1	74	1960
ba04.0019.01	Brown	A04	19	Press	s	the secretary's greatest achievement	the secretary's	secretary	common	N	animate	animate	animate	given	greatest achievement	achievement	inanimate	OTH	N	Y	-2.455931956	2	2	78	1960
ba04.0020.01	Brown	A04	20	Press	of	the use of the Organization for Economic Cooperation and Development	the Organization for Economic Cooperation and Development	Organization for Economic Cooperation and Development	proper	N	collective	collective	inanimate	new	the use	use	inanimate	OTH	N	Y	-3.301029996	7	2	84	1960
ba04.0021.02	Brown	A04	21	Press	s	the alliance's most difficult problems	the alliance's	alliance	common	Y	collective	collective	inanimate	given	most difficult problems	problems	inanimate	OTH	N	N	-2.698970004	2	3	79	1960
ba04.0026.01	Brown	A04	26	Press	of	the aid of the neutral countries attending the Geneva conference	the neutral countries attending the Geneva conference	countries	common	Y	collective	collective	inanimate	new	the aid	aid	inanimate	OTH	N	Y	-2.698970004	7	2	74	1960
ba04.0030.02	Brown	A04	30	Press	of	the modifications of policy on Laos	policy on Laos	policy	common	Y	inanimate	inanimate	inanimate	new	the modifications	modifications	inanimate	OTH	N	N	-2.397940009	3	2	79	1960
ba04.0035.01	Brown	A04	35	Press	s	President Kennedy's tendency to be too conciliatory	President Kennedy's	President Kennedy	proper	N	animate	animate	animate	given	tendency to be too conciliatory	tendency	inanimate	OTH	N	N	-2.823908741	2	5	73	1960
ba04.0040.01	Brown	A04	40	Press	of	the wisdom of administration policies	administration policies	policy	common	Y	inanimate	inanimate	inanimate	new	the wisdom	wisdom	inanimate	OTH	N	Y	-2.397940009	2	2	81	1960
ba04.0041.02	Brown	A04	41	Press	of	chairman of the Republican National Committee	the Republican National Committee	Republican National Committee	proper	N	collective	collective	inanimate	new	chairman	chairman	animate	OTH	N	N	-3.301029996	4	1	79	1960
ba04.0048.02	Brown	A04	48	Press	of	the formative period of the administration	the administration	administration	common	N	collective	collective	inanimate	given	the formative period	period	inanimate	OTH	N	N	-1.958607315	2	3	77	1960
ba04.0063.01	Brown	A04	63	Press	of	"the statement of Senator J. W. Fulbright (D) of Arkansas , chairman of the Senate Foreign Relations Committee"	"Senator J. W. Fulbright ( D ) of Arkansas, chairman of the Senate Foreign Relations Committee"	Fulbright	proper	N	animate	animate	animate	new	the statement	statement	inanimate	OTH	N	N	-3.301029996	8	2	73	1960
ba04.0063.03	Brown	A04	63	Press	of	chairman of the Senate Foreign Relations Committee	the Senate Foreign Relations Committee	Senate Foreign Relations Committee	proper	N	collective	collective	inanimate	given	chairman	chairman	animate	OTH	N	N	-3.301029996	5	1	73	1960
ba04.0065.01	Brown	A04	65	Press	of	the rapid growth of juvenile delinquency	juvenile delinquency	delinquency	common	N	inanimate	inanimate	inanimate	new	the rapid growth	growth	inanimate	OTH	N	N	-2.823908741	2	3	64	1960
ba04.0066.02	Brown	A04	66	Press	of	the vitality of the nation	the nation	nation	common	N	collective	collective	inanimate	given	the vitality	vitality	inanimate	OTH	N	N	-2.522878745	2	2	72	1960
ba04.0067.02	Brown	A04	67	Press	s	the President's committee on Juvenile Delinquency and Crime	the President's	President	common	N	animate	animate	animate	given	committee on Juvenile Delinquency and Crime	committee	inanimate	OTH	N	N	-2.397940009	2	6	72	1960
ba04.0068.01	Brown	A04	68	Press	of	the support and cooperation of Congress	Congress	Congress	proper	Y	collective	collective	inanimate	new	the support and cooperation	support	inanimate	OTH	N	Y	-3	1	4	72	1960
ba04.0070.02	Brown	A04	70	Press	of	executive director of the new Committee on Juvenile Delinquency and Youth Crime	the new Committee on Juvenile Delinquency and Youth Crime	Committee	proper	N	collective	collective	inanimate	new	executive director	director	animate	OTH	N	N	-2.602059991	8	2	72	1960
ba05.0004.01	Brown	A05	4	Press	s	the state's general treasurer	the state's	state	common	N	collective	collective	inanimate	given	general treasurer	treasurer	animate	OTH	N	N	-2.455931956	2	2	70	1960
ba05.0006.01	Brown	A05	6	Press	s	the nation's civil defense program	the nation's	nation	common	N	collective	collective	inanimate	given	civil defense program	program	inanimate	OTH	N	Y	-2.698970004	2	3	68	1960
ba05.0015.02	Brown	A05	15	Press	of	the Riverside section of the city	the city	city	common	N	place	inanimate	inanimate	given	the Riverside section	section	inanimate	PART	Y	Y	-2.124938737	2	3	61	1960
ba05.0016.01	Brown	A05	16	Press	of	the present status of civil defense in the city	civil defense in the city	defense	common	N	inanimate	inanimate	inanimate	new	the present status	status	inanimate	OTH	N	N	-2.455931956	5	3	70	1960
ba05.0025.01	Brown	A05	25	Press	of	the next session of the General Assembly	the General Assembly	General Assembly	proper	N	collective	collective	inanimate	new	the next session	session	inanimate	OTH	N	N	-2.823908741	3	3	72	1960
ba05.0026.01	Brown	A05	26	Press	s	The governor's move into the so-called blue law controversy	The governor's	governor	common	N	animate	animate	animate	given	move into the so-called blue law controversy	move	inanimate	OTH	N	N	-2.522878745	2	7	72	1960
ba05.0029.03	Brown	A05	29	Press	of	the next session of the legislature	the legislature	legislature	common	N	collective	collective	inanimate	given	the next session	session	inanimate	OTH	N	Y	-3.301029996	2	3	73	1960
ba05.0031.01	Brown	A05	31	Press	s	Mr. Nugent's cooperation	Mr. Nugent's	Nugent	proper	N	animate	animate	animate	given	cooperation	cooperation	inanimate	OTH	N	N	-3	2	1	74	1960
ba05.0032.01	Brown	A05	32	Press	of	"the views of the general public and religious , labor and special-interest groups affected by these laws"	"the general public and religious, labor and special-interest groups affected by these laws"	public	common	Y	collective	collective	inanimate	new	the views	views	inanimate	OTH	N	Y	-2.602059991	8	2	71	1960
ba05.0039.01	Brown	A05	39	Press	s	the council's resolution	the council's	council	common	N	collective	collective	inanimate	given	resolution	resolution	inanimate	OTH	N	N	-2.070581074	2	1	80	1960
ba05.0043.01	Brown	A05	43	Press	of	the more limited but vital shopping needs of the community	the community	community	common	N	collective	collective	inanimate	new	the more limited but vital shopping needs	needs	inanimate	OTH	N	Y	-3	2	7	68	1960
ba05.0055.01	Brown	A05	55	Press	of	vice president of the American Screw Co.	the American Screw Co.	American Screw Co.	proper	N	collective	collective	inanimate	new	vice president	vice president	animate	OTH	N	N	-3.301029996	4	2	76	1960
ba05.0059.01	Brown	A05	59	Press	of	"the signatures of more than 1,700 Johnston taxpayers"	"more than 1,700 Johnston taxpayers"	taxpayer	common	Y	animate	animate	animate	new	the signatures	signatures	inanimate	OTH	N	N	-3.301029996	5	2	68	1960
